lesson,video_type,grammar_index,title,youtube_url,sort_order
11,grammar,1,"?[Indefinite pronoun]""one(s)"" (p.25)",https://www.youtube.com/watch?v=KPMHzdhwnHc,1
11,grammar,2,"Noun modification clauses, Part 1 (pp.26-28)",https://www.youtube.com/watch?v=FiSxu7vS5AU,2
11,grammar,2,"Noun modification clauses, Part 2 (pp.26-28)",https://www.youtube.com/watch?v=xiWpNAuIyJs,3
11,grammar,3,"~? ""when"" (pp.28-30)",https://www.youtube.com/watch?v=6mBYJ6K-F_E,4
11,grammar,4,~???/??[Resemblance](pp.30-31),https://www.youtube.com/watch?v=TV48aBIdrLQ,5
11,grammar,5,"X?Y???? ""X is to V; X is V-ing; X is that Y"" (pp.31-32)",https://www.youtube.com/watch?v=gfMsMYNQ31Y,6
11,grammar,6,"V-te?? ""after V-ing"" (p.32)",https://www.youtube.com/watch?v=VBGmMLEFFRc,7
11,grammar,7,V-masu?[Method; manner](pp.32-34),https://www.youtube.com/watch?v=6-8uKONG3a4,8
